[22:03:10] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:03:10] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:03:10] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:03:10] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:03:10] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:03:10] [Server thread/INFO]: Starting minecraft server version 1.14.1
[22:03:10] [Server thread/INFO]: Loading properties
[22:03:10] [Server thread/INFO]: Default game type: SURVIVAL
[22:03:10] [Server thread/INFO]: Generating keypair
[22:03:10] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:03:10] [Server thread/INFO]: Using default channel type
[22:03:11] [Server thread/INFO]: Preparing level "world"
[22:03:11] [Server thread/INFO]: Reloading ResourceManager: Default
[22:03:13] [Server thread/INFO]: Loaded 6 recipes
[22:03:16] [Server thread/INFO]: Loaded 811 advancements
[22:03:16] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[22:03:27] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:28] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[22:03:28] [Server-Worker-3/INFO]: Preparing spawn area: 4%
[22:03:29] [Server-Worker-2/INFO]: Preparing spawn area: 58%
[22:03:29] [Server thread/INFO]: Time elapsed: 12653 ms
[22:03:29] [Server thread/INFO]: Done (18.251s)! For help, type "help"
